# "Abundance of chemical elements in Earth's,          continental) crust, by mass "
# https://en.wikipedia.org/wiki/Abundance_of_elements_in_Earth%27s_crust
#
number,      name,        sym­bol,     "Goldschmidt class", "Abundance (ppm)",  percent,           "Extraction (tonnes/yr)",          
8,           oxygen,          O,          Lithophile,           461,000,        46.1,          10,335,000,     
14,          silicon,         Si,         Lithophile,           282,000,        28.2,           7,200,000,      
13,          aluminium,       Al,         Lithophile,           82,300,          8.23,           57,600,000,     
26,          iron,            Fe,         Siderophile,          56,300,          5.63,           1,150,000,000,  
20,          calcium,         Ca,         Lithophile,           41,500,          4.15,           18,000,         
11,          sodium,          Na,         Lithophile,           23,600,          2.36,           255,000,000,    
12,          magnesium,       Mg,         Lithophile,           23,300,          2.33,           27,700,000,     
19,          potassium,       K,          Lithophile,           20,900,          2.09,           53,200,000,     
22,          titanium,        Ti,         Lithophile,           5,650,           0.565,           6,600,000,      
1,           hydrogen,        H,          Atmophile,            1,400,           0.14,           75,000,000,      
15,          phosphorus,      P,          Lithophile,           1,050,           0.105,           226,000,000,    
25,          manganese,       Mn,         Lithophile,           950,             0.095,           16,000,000,       
9,           fluorine,        F,          Lithophile,           585,             0.0585,           17,000,         
56,          barium,          Ba,         Lithophile,           425,             0.0425,           6,000,000,       
38,          strontium,       Sr,         Lithophile,           370,             0.037,           350,000,         
16,          sulfur,          S,          Chalcophile,          350,             0.035,           69,300,000,       
6,           carbon,          C,          Atmophile,            200,             0.02,           9,700,000,000,     
40,          zirconium,       Zr,         Lithophile,           165,             0.0165,           1,460,000,       
17,          chlorine,        Cl,         Lithophile,           145,             0.0145,           71,250,000,      
23,          vanadium,        V,          Lithophile,           120,             0.012,           76,000,          
24,          chromium,        Cr,         Lithophile,           102,             0.0102,           26,000,000,      
37,          rubidium,        Rb,         Lithophile,           90,              0.009,          2,          
28,          nickel,          Ni,         Siderophile,          84,              0.0084,           2,250,000,        
30,          zinc,            Zn,         Chalcophile,          70,              0.007,           11,900,000,        
58,          cerium,          Ce,         Lithophile,           66.5,            0.00665,           24,000,        
29,          copper,          Cu,         Chalcophile,          60,              0.006,           19,400,000,        
60,          neodymium,       Nd,         Lithophile,           41.5,            0.00415,           7,000,         
57,          lanthanum,       La,         Lithophile,           39,              0.0039,           12,50,          
39,          yttrium,         Y,          Lithophile,           33,              0.0033,           6,000,          
27,          cobalt,          Co,         Siderophile,          25,              0.0025,           123,000,          
21,          scandium,        Sc,         Lithophile,           22,              0.0022,          14, 
3,           lithium,         Li,         Lithophile,           20,              0.002,           35,000,          
41,          niobium,         Nb,         Lithophile,           20,              0.002,           64,000,          
7,           nitrogen,        N,          Atmophile,            19,              0.0019,           140,000,000,          
31,          gallium,         Ga,         Chalcophile,          19,              0.0019,          315,          
82,          lead,            Pb,         Chalcophile,          14,              0.0014,           4,820,000,          
5,           boron,           B,          Lithophile,           10,              0.001,           9,400,000,          
90,          thorium,         Th,         Lithophile,           9.6,             0.00096,           5,000,  
59,          praseodymium,    Pr,         Lithophile,           9.2,             0.00092,           2,50,  
62,          samarium,        Sm,         Lithophile,           7.05,            0.000705,          700, 
64,          gadolinium,      Gd,         Lithophile,           6.2,             0.00062,          400,   
66,          dysprosium,      Dy,         Lithophile,           5.2,             0.00052,          0.2,   
68,          erbium,          Er,         Lithophile,           3.5,             0.00035,          500,   
18,          argon,           Ar,         Atmophile,            3.5,             0.00035,          ,          
70,          ytterbium,       Yb,         Lithophile,           3.2,             0.00032,          ,          
72,          hafnium,         Hf,         Lithophile,           3.0,             0.0003,          35,
55,          caesium,         Cs,         Lithophile,           3.0,             0.0003,          ,          
4,           beryllium,       Be,         Lithophile,           2.8,             0.00028,          220,          
92,          uranium,         U,          Lithophile,           2.7,             0.00027,           74,119",          
35,          bromine,         Br,         Lithophile,           2.4,             0.00024,           391,000,          
50,          tin,             Sn,         Chalcophile,          2.3,             0.00023,           280,000,          
